"","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","home_win_prob","visitor_win_prob","tie_prob"
"254",2023-11-11,"Northeastern",1,"Providence",3,0,1436.07305907373,1650.27063826754,1518.34973920881,1576.38763768204,0.279169062021669,0.647293407138773,0.0735375308395571
"255",2023-11-11,"Boston University",5,"New Hampshire",3,0,1605.21426147918,1500.38868603044,1524.13377185514,1589.0235163397,0.71035104104218,0.223464926337737,0.0661840326200826
"256",2023-11-11,"Merrimack",4,"Holy Cross",3,0,1476.23962316278,1403.1521987536,1427.58526364964,1456.92820957016,0.671724645365863,0.257565567476293,0.0707097871578437
"257",2023-11-11,"Stonehill",2,"Sacred Heart",4,0,1247.08563598809,1467.98039408528,1330.24863121407,1393.09530911604,0.27140400225899,0.656072728631531,0.0725232691094793
"258",2023-11-11,"Saint Anselm",1,"Long Island",2,1,1652.22956281153,1431.82935682753,1665.02309409616,1422.79413068095,0.823371834484417,0.124740807192655,0.0518873583229281
"259",2023-11-11,"Saint Michael's",1,"Assumption",3,0,1191.92227887435,1002.8082292029,1215.08501183746,985.973566935129,0.79706990485606,0.147489487581478,0.0554406075624613
"260",2023-11-11,"Post",1,"Franklin Pierce",3,0,1271.98561697635,1072.39507755811,1294.10367350705,1056.46645110209,0.806222377846148,0.139551653398578,0.0542259687552739
"261",2023-11-11,"Mercyhurst",1,"Princeton",5,0,1592.97433672947,1489.78239799646,1638.41419469125,1454.69263801274,0.708440152088453,0.225149583273653,0.0664102646378939
"262",2023-11-11,"Clarkson",3,"St. Lawrence",0,0,1857.80631376017,1989.08104475123,1804.72737972578,2054.24336874626,0.383131037493201,0.529649393834742,0.0872195686720575
"263",2023-11-11,"Rensselaer",1,"Yale",4,0,1695.55844251808,1446.62643658259,1717.06889821778,1431.88165508913,0.844734575795438,0.106429858360348,0.0488355658442143
"264",2023-11-11,"Cornell",4,"Dartmouth",2,0,1316.50485951157,1866.08606401544,1311.3998884419,1875.31477123604,0.0447249582562388,0.919146741564782,0.0361283001789793
"265",2023-11-11,"Union",0,"Brown",2,0,1496.02975395224,1373.60615340586,1526.80362732235,1350.11359261248,0.730388246460778,0.205819736581547,0.0637920169576753
"266",2023-11-11,"Colgate",10,"Harvard",1,0,1271.84166164578,1928.83935717077,1267.64102010394,1938.89942719511,0.0205262001930309,0.950842029909258,0.0286317698977108
"267",2023-11-14,"Boston University",1,"Harvard",3,0,1267.64102010394,1589.0235163397,1362.36747257021,1501.00635246646,0.170095858625803,0.771123660905895,0.0587804804683016
"268",2023-11-17,"Boston University",3,"Boston College",5,0,1712.25675821748,1501.00635246646,1733.25898076271,1486.04262779979,0.815998266434034,0.131098090849315,0.0529036427166503
"269",2023-11-17,"Merrimack",1,"Providence",0,0,1518.34973920881,1456.92820957016,1470.77945266144,1509.74576289432,0.656757877006933,0.270798082005761,0.072444040987306
"270",2023-11-17,"Maine",3,"Vermont",0,0,1676.53993260606,1463.93713860455,1563.33836154183,1584.44700165349,0.817104490824846,0.130143253664781,0.0527522555103728
"271",2023-11-17,"Holy Cross",0,"Connecticut",3,0,1806.30653775603,1427.58526364964,1818.09101431994,1420.92453798042,0.914938029288196,0.0480780328868165,0.0369839378249876
"272",2023-11-17,"Long Island",1,"Stonehill",0,0,1393.09530911604,1665.02309409616,1377.43315641188,1685.4084501264,0.216232503647047,0.718558702917936,0.0652087934350168
"273",2023-11-17,"Sacred Heart",1,"Saint Michael's",0,0,985.973566935129,1330.24863121407,975.017025885335,1345.26210626785,0.151266581756595,0.792723174097338,0.0560102441460673
"274",2023-11-17,"Saint Anselm",2,"Franklin Pierce",1,1,1294.10367350705,1422.79413068095,1266.10555584759,1457.14315419212,0.386543484364163,0.52577557555821,0.0876809400776265
"275",2023-11-17,"Yale",2,"St. Lawrence",3,0,1804.72737972578,1717.06889821778,1827.19238680559,1699.5725483624,0.689846931193168,0.241555525946784,0.0685975428600479
"276",2023-11-17,"Brown",3,"Clarkson",3,1,2054.24336874626,1526.80362732235,2013.09579975266,1570.36295117058,0.95719521104009,0.0160075127973728,0.0267972761625377
"277",2023-11-17,"Quinnipiac",3,"Cornell",1,0,1875.31477123604,1797.43375081463,1797.95452315024,1882.7848526583,0.677757781407549,0.252233868716468,0.0700083498759836
"278",2023-11-17,"Princeton",1,"Colgate",7,0,1938.89942719511,1638.41419469125,1960.98066751324,1624.21861603993,0.877496133876346,0.0787552348325759,0.0437486312910786
"279",2023-11-17,"St. Cloud State",1,"St. Thomas",0,0,1498.95290338963,1724.17952630153,1479.6539324826,1748.68448266194,0.2664426069559,0.661683284178014,0.0718741088660851
"280",2023-11-17,"Minnesota",3,"Minnesota-Duluth",1,0,1821.02847143313,1908.51419613997,1770.62833821485,1969.79663061944,0.441558595246226,0.463100909578337,0.0953404951754362
"281",2023-11-17,"Wisconsin",0,"Ohio State",3,0,2031.47655202333,2070.64596535442,2098.81497132361,2015.65113909067,0.51394203898388,0.39696021079728,0.0890977502188399
"282",2023-11-17,"Minnesota State",2,"Bemidji State",3,1,1192.25659197846,1394.08568662331,1243.40803456134,1348.39888217284,0.293800494493042,0.630754424156044,0.0754450813509138
"283",2023-11-17,"Lindenwood",4,"Syracuse",3,0,1198.05285943672,1320.77951851119,1169.48260322427,1355.77841081815,0.39444245930589,0.516803452797695,0.0887540878964145
"284",2023-11-17,"RIT",7,"Robert Morris",3,0,1454.07433454403,1454.99923022405,1365.13392334626,1556.7807618858,0.57067636047249,0.346930003248025,0.0823936362794846
"285",2023-11-17,"Penn State",0,"Mercyhurst",4,0,1454.69263801274,1668.6465472743,1566.99040846632,1567.81545503162,0.279453714362452,0.646971606816305,0.0735746788212421
"286",2023-11-18,"St. Thomas",0,"St. Cloud State",2,0,1748.68448266194,1479.6539324826,1764.85110245077,1468.82785895019,0.85836327271369,0.0948478806652626,0.0467888466210471
"287",2023-11-18,"Wisconsin",1,"Ohio State",2,1,2098.81497132361,2015.65113909067,2121.67986751108,1997.8016361762,0.684326041149312,0.246431175647119,0.0692427832035698
"288",2023-11-18,"Minnesota",3,"Minnesota-Duluth",1,0,1770.62833821485,1969.79663061944,1736.7288423356,2012.35504963279,0.296995520134197,0.62714313404602,0.0758613458197827
"289",2023-11-18,"Minnesota State",3,"Bemidji State",2,1,1243.40803456134,1348.39888217284,1213.12499532129,1385.34681630405,0.418089231831894,0.489894878904289,0.0920158892638179
"290",2023-11-18,"Long Island",4,"Stonehill",1,0,1377.43315641188,1685.4084501264,1352.2374623171,1718.98054798748,0.181865981193969,0.757671985725994,0.0604620330800372
"291",2023-11-18,"Assumption",3,"Post",0,0,1056.46645110209,1215.08501183746,1008.32166398649,1274.65530730749,0.347515687212898,0.570013423924071,0.0824708888630303
"292",2023-11-18,"Sacred Heart",5,"Saint Michael's",1,0,975.017025885335,1345.26210626785,954.474115304899,1374.0676763183,0.131811324972262,0.815172229852002,0.0530164451757354
"293",2023-11-18,"Franklin Pierce",0,"Saint Anselm",2,0,1457.14315419212,1266.10555584759,1480.11106379942,1249.44004441515,0.798776763981554,0.146007546950291,0.055215689068155
"294",2023-11-18,"Penn State",3,"Mercyhurst",1,0,1566.99040846632,1567.81545503162,1501.83604466263,1642.37241950684,0.570821295862868,0.346801954730551,0.0823767494065807
"295",2023-11-18,"Lindenwood",4,"Syracuse",4,1,1169.48260322427,1355.77841081815,1186.34175081645,1345.93071955638,0.312676137864696,0.609418791797426,0.0779050703378778
"296",2023-11-18,"RIT",2,"Robert Morris",3,0,1365.13392334626,1556.7807618858,1415.39348907216,1512.10204205499,0.306113793269598,0.616836754898556,0.0770494518318463
"297",2023-11-18,"Yale",0,"Clarkson",1,0,2013.09579975266,1699.5725483624,2021.44793024246,1694.30200151633,0.884690047357412,0.0727654468477098,0.0425445057948779
"298",2023-11-18,"Quinnipiac",1,"Colgate",4,0,1960.98066751324,1882.7848526583,2005.5695178418,1847.88860152375,0.678151553007054,0.251885934505417,0.0699625124875297
"299",2023-11-18,"Princeton",4,"Cornell",3,0,1797.95452315024,1624.21861603993,1741.24079719943,1685.08052255138,0.782992682113037,0.159737318982631,0.0572699989043329
"300",2023-11-18,"Brown",0,"St. Lawrence",4,0,1827.19238680559,1570.36295117058,1850.53485589385,1554.50465912222,0.850225615956408,0.101752985708023,0.0480213983355687
