"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"88",88,2023-10-13,"Holy Cross",3,"Brown",4,1,"Non-Conference",0.704160007425314,0.295839992574686,1409.2151069144,1273.56931776089,1438.20742618672,1244.57699848857,0,135.645789153508
"89",89,2023-10-13,"Syracuse",2,"Rensselaer",6,0,"Non-Conference",0.747799348451789,0.252200651548211,1468.81764244662,1295.00209116435,1499.5861219355,1264.23361167547,0,173.81555128227
"90",90,2023-10-13,"Ohio State",5,"Minnesota-Duluth",2,0,"WCHA",0.439423593042865,0.560576406957135,1742.07380351595,1799.37438141232,1691.97951390907,1849.46867101921,0,57.3005778963688
"91",91,2023-10-13,"Minnesota",8,"St. Thomas",0,0,"WCHA",0.198219824502828,0.801780175497173,1547.63276418323,1805.3960548073,1517.10691120979,1835.92190778073,0,257.763290624067
"92",92,2023-10-13,"Bemidji State",2,"St. Cloud State",5,0,"WCHA",0.903169924474526,0.0968300755254738,1582.98877150247,1210.08509287322,1594.02740011238,1199.04646426331,0,372.903678629255
"93",93,2023-10-13,"Minnesota State",0,"Wisconsin",9,0,"WCHA",0.881699769648375,0.118300230351625,1903.33593948349,1569.40188466283,1922.50057680045,1550.23724734586,0,333.934054820659
"94",94,2023-10-13,"Harvard",2,"Dartmouth",4,0,"ECAC",0.654631995986265,0.345368004013735,1456.89682197797,1360.8107709709,1493.50583040343,1324.20176254545,0,96.0860510070718
"95",95,2023-10-14,"Union",1,"RIT",2,0,"Non-Conference",0.654174327172011,0.345825672827989,1452.80524583095,1357.07073949658,1486.6961617681,1323.17982355944,0,95.7345063343719
"96",96,2023-10-14,"Robert Morris",0,"Princeton",4,0,"Non-Conference",0.719400480029021,0.280599519970979,1613.9637149579,1465.41019514305,1648.19685639436,1431.17705370659,0,148.553519814851
"97",97,2023-10-14,"Mercyhurst",1,"Colgate",5,0,"Non-Conference",0.891510959998897,0.108489040001103,1816.32653150445,1465.43020333692,1829.56219438459,1452.19454045679,0,350.896328167533
"98",98,2023-10-14,"Quinnipiac",2,"Providence",1,1,"Non-Conference",0.19180883843863,0.80819116156137,1507.52076796181,1772.37896049199,1488.72350179483,1791.17622665898,0,264.858192530181
"99",99,2023-10-14,"Penn State",2,"Cornell",5,0,"Non-Conference",0.676074712895655,0.323925287104345,1604.03029998969,1491.21036397682,1640.95778271958,1454.28288124693,0,112.819936012863
"100",100,2023-10-14,"Vermont",0,"St. Lawrence",3,0,"Non-Conference",0.506255277009101,0.493744722990899,1661.40508653428,1672.05824808399,1717.69198495525,1615.77134966303,0,10.6531615497051
"101",101,2023-10-14,"Rensselaer",2,"Syracuse",3,0,"Non-Conference",0.219522528370471,0.780477471629529,1264.23361167547,1499.5861219355,1340.72040389516,1423.09932971581,0,235.352510260033
"102",102,2023-10-14,"Brown",1,"Holy Cross",2,1,"Non-Conference",0.263417814328957,0.736582185671043,1244.57699848857,1438.20742618672,1316.76205268433,1366.02237199096,0,193.630427698147
